item.copper_pickaxe 铜镐
guide.ice_cap.desc 这些蘑菇摸起来很冷，却在内部暗藏大量温暖，那正是它们鲜艳光芒的来源。
guide.cobalt_ingot.name 钴锭
guide.cobalt_ingot.desc 把矿石制成锭。你知道该怎么做。
guide.cobalt_spear.name 钴矛
guide.cobalt_spear.desc 一种用于刺穿敌人的新武器。伤害更高，但没有横扫攻击，只会攻击你正看着的敌人。
guide.cobalt_armour.name 钴护甲
guide.cobalt_armour.desc 如果你想在接下来的挑战中生存，至少一件钴护甲是必需的。
guide.frozen_heart.name 冰冻之心
guide.frozen_heart.desc 这颗心冰冷无情，装备它也会让你有同样的感觉！这种新状态能提高你对寒冷的免疫力。
guide.jet_boots.name 喷气靴
guide.jet_boots.desc 它们会用一阵能量把你送向空中。只要确保你能安全落地，而不是摔成一团。
guide.gecko_gloves.name 壁虎手套
guide.gecko_gloves.desc 壁虎拥有攀爬墙壁的超强能力，而有了这些，你也能做到！
guide.giant_snowball.name 巨型雪球
guide.giant_snowball.desc 为巨型雪人准备的巨型雪球。
guide.evil_tophat.name 邪恶高顶帽
guide.evil_tophat.desc 在地牢深处，将雪球和帽子放在基座顶部，使它活过来。
guide.spawn_snow_boss.name 雪之精灵
guide.spawn_snow_boss.desc 这家伙冷冰冰的。
guide.ice_pickaxe.name 冰镐
guide.ice_pickaxe.desc 有了这把镐，你现在可以挖掘新的方块，例如雪地牢墙壁和沙漠中的部分资源。
guide.snow_dungeon_bricks.name 雪地牢砖
guide.snow_dungeon_bricks.desc 吃我这招，你这个讨厌的地牢！反正我也不喜欢你。
guide.to_the_desert.name 前往沙漠！
guide.to_the_desert.desc 冒险的下一站是沙漠生物群系。在向上之前，你得先向下！
guide.palladium_ore.name 钯矿石
guide.palladium_ore.desc 这是沙漠的金属。
guide.palladium_ingot.name 钯锭
guide.palladium_ingot.desc 精炼后的钯，适合制作工具、武器和钥匙。
guide.desert_key_fragment.name 钥匙碎片
guide.desert_key_fragment.desc 在地下遗迹中寻找这些。
guide.desert_key.name 沙漠钥匙
guide.desert_key.desc 沙漠地牢门的沙漠地牢钥匙。
guide.make_table.name 桌子
guide.make_table.desc 桌子很酷。不用桌子吃饭会获得心情 -3 的减益。（并不会）
guide.make_lamp.name 灯
guide.make_lamp.desc 这是一盏可用于装饰的基础灯。给灯罩上色也会改变颜色。
guide.desert_shuriken.name 沙漠手里剑
guide.desert_shuriken.desc 这是一枚由仙人掌和钯制成的强化手里剑。它的尖刺很有威力。
guide.desert_glider.name 沙漠滑翔伞
guide.desert_glider.desc 这个滑翔伞让你的飞行速度达到普通滑翔伞的两倍。很适合从沙漠地牢屋顶下降。
guide.cool_sword.name 酷剑
guide.cool_sword.desc 这把酷剑暂时标志着你成长旅程的终点。希望你玩得开心 :)

item_tag.can_place 可放置
item_tag.can_consume 可消耗
item_tag.axe_power 斧力
item_tag.pickaxe_power 镐力
item_tag.swing_speed 冷却时间
item_tag.hammer 锤子
item_tag.cant_mine 无法挖掘
item_tag.restores_health 恢复
item_tag.melee_damage 近战
item_tag.defence 防御
item_tag.required_ammo 所需弹药
item_tag.ammo 弹药
item_tag.ranged_damage 远程
item_tag.trinket 饰品
item_tag.can_block 可格挡
item_tag.knockback 击退
item_tag.demo_locked 在演示版中锁定
item_tag.material_level 材料等级

settings.field_of_view 视野
settings.max_fps 最大帧率
settings.render_distance 渲染距离
settings.mouse_sensitivity 鼠标灵敏度
settings.master_volume 主音量
settings.max_mesh_threads 最大网格生成线程数
settings.max_mesh_uploads 每帧最大网格上传数
settings.show_control_hints 显示操作提示
settings.auto_scale_ui 自动缩放界面
settings.manual_ui_scale 手动界面缩放
settings.world_volume 世界音量
settings.music_volume 音乐音量
settings.ui_volume 界面/玩家音量
settings.ambient_volume 环境音量
settings.autosave_interval 自动保存间隔（分钟）
settings.autosave_enabled 自动保存
settings.autosave_indicator 自动保存提示
settings.panicsave_enabled 崩溃时创建恢复存档
settings.view_bobbing 视角晃动
settings.screen_shake 屏幕震动
settings.allow_noclip 允许穿墙模式
settings.allow_infinite_item 无限物品
settings.allow_creative_menu 允许创造菜单
settings.allow_godmode 无敌模式
settings.mob_spawning 怪物生成
settings.current_language 当前语言
settings.language_info 请重启以完全应用语言选择。
settings.cave_culling 洞穴剔除
settings.header_basic 基础
settings.vsync 垂直同步
settings.view_bobbing_intensity 晃动强度
settings.header_user_interface 用户界面
settings.header_advanced 高级
settings.pixel_scale 像素缩放
settings.dither_shader 抖动着色器
settings.invert_mouse 反转鼠标
settings.leaf_sway 树叶摆动
settings.dynamic_light 动态光照
settings.disable_launch_message 禁用启动消息
settings.show_day_count 显示天数
settings.infinite_stamina 无限耐力
settings.edit_adventure_blocks 编辑冒险方块
settings.disable_mobs 禁用怪物
settings.header_controls 控制
settings.header_keybinds 按键绑定
settings.slab_placement_mode 垂直放置模式
settings.reset_shape_on_swap 切换时重置形状
settings.world_settings 世界权限
settings.player_settings 玩家权限
settings.button_reset_keybinds 重置按键绑定
settings.audio_header 音频
settings.misc_header 杂项
settings.assets_info 资源包
settings.button_open_assets 打开资源包文件夹
settings.camera_header 相机
settings.animated_textures 动态纹理
settings.header_experimental 实验性设置
settings.show_aurora 显示极光
settings.fluffy_clouds 蓬松云朵
settings.field_of_view_viewmodel 手部模型视野
settings.show_compendium_popup 显示图鉴弹窗

settings_category.camera 相机
settings_category.video 视频
settings_category.audio 音频
settings_category.controls 控制
settings_category.misc 杂项
settings_category.keybinds 按键绑定
settings_category.cheats 作弊
settings_category.language 语言
settings_category.assets 资源包

permission.allow_noclip 允许穿墙模式
permission.allow_infinite_item 无限物品
permission.allow_creative_menu 创造菜单
permission.allow_godmode 无敌模式
permission.instant_break 即时破坏方块
permission.infinite_stamina 无限耐力
permission.edit_adventure_blocks 编辑冒险方块
permission.enable_pvp 启用 PVP

control_hint.open_inventory 打开背包
control_hint.close_inventory 关闭背包
control_hint.close_menu 关闭菜单
control_hint.split_stack 拆分堆叠
control_hint.take_stack 拿取堆叠
control_hint.drop_one 丢弃一个
control_hint.drop_stack 丢弃整组
control_hint.craft_one 制作一个
control_hint.toggle_creative 切换创造模式
control_hint.use 使用
control_hint.use_item 使用物品
control_hint.place_item 放置物品
control_hint.punch 攻击
control_hint.unequip 装备
control_hint.equip 卸下装备
control_hint.change_shape 改变形状
control_hint.show_recipes 显示配方

settings.third_person_header 第三人称
settings.third_person_mode 第三人称模式
settings.auto_backups 自动备份
settings.files_header 文件位置
settings.button_open_backups 打开备份
settings.button_open_save 打开存档
settings.button_open_skins 打开皮肤
settings.chunk_mesh_unload_time 区块网格卸载前的秒数
keybind.toggle_third_person 切换第三人称

keybind.move_forward 向前移动
keybind.move_backward 向后移动
keybind.move_left 向左移动
keybind.move_right 向右移动
keybind.fly_down 向下飞行
keybind.fly_up 向上飞行
keybind.jump 跳跃
keybind.noclip 穿墙模式
keybind.place 放置/使用
keybind.punch 攻击
keybind.place_modifier 放置修饰键
keybind.open_inventory 打开背包
keybind.toggle_creative_menu 切换创造菜单
keybind.drop_item 丢弃物品
keybind.drop_modifier 丢弃物品修饰键
keybind.pause 暂停
keybind.ui_confirm 界面确认
keybind.ui_secondary 界面次要操作
keybind.open_compendium 打开图鉴
keybind.quick_heal 快速治疗
keybind.quick_buff 快速增益
keybind.toggle_debug 切换调试叠加层
keybind.toggle_profiler 切换性能分析叠加层
keybind.toggle_fullscreen 切换全屏
keybind.ui_up 界面向上
keybind.ui_down 界面向下
keybind.ui_left 界面向左
keybind.ui_right 界面向右
keybind.hotbar1 快捷栏槽位 1
keybind.hotbar2 快捷栏槽位 2
keybind.hotbar3 快捷栏槽位 3
keybind.hotbar4 快捷栏槽位 4
keybind.hotbar5 快捷栏槽位 5
keybind.hotbar6 快捷栏槽位 6
keybind.hotbar7 快捷栏槽位 7
keybind.hotbar8 快捷栏槽位 8
keybind.hotbar9 快捷栏槽位 9
keybind.hotbar10 快捷栏槽位 10
keybind.hotbar11 快捷栏槽位 11
keybind.hotbar12 快捷栏槽位 12
keybind.open_chat 打开聊天
keybind.send_chat 发送消息
keybind.toggle_hud 切换 HUD
keybind.take_screenshot 截图
keybind.open_radial 打开环形菜单
keybind.sneak 潜行（需饰品）
keybind.sprint 冲刺（需饰品）
keybind.show_use 显示物品用途
keybind.show_recipe 显示物品配方
keybind.pick_block 拾取方块
keybind.scroll_up 向上滚动
keybind.scroll_down 向下滚动
keybind.favourite_item 收藏物品
keybind.fish_left 向左收线
keybind.fish_right 向右收线
keybind.hotbar_left 快捷栏向左
keybind.hotbar_right 快捷栏向右
keybind.move_stack_modifier 移动堆叠修饰键
keybind.delete_stack_modifier 删除堆叠修饰键

ammo.arrow 箭
ammo.rock 石块
ammo.bullet 子弹
ammo.snowball 雪球
ammo.shuriken 手里剑
ammo.coconut 椰子
ammo.glass 玻璃

effect.poison 中毒
effect.desc.poison 持续造成伤害。
effect.regen 再生
effect.desc.regen 你会随时间缓慢恢复生命。
effect.wet 潮湿
effect.desc.wet 你被水浸透了。
effect.slowfall 缓降
effect.desc.slowfall 你下落得更慢，且不会受到摔落伤害。
effect.fire 着火
effect.desc.fire 你着火了！！！
effect.healcooldown 刚刚治疗
effect.desc.healcooldown 你必须稍等片刻才能再次治疗。
effect.freezing 冻结
effect.desc.freezing 你正在受到寒冷伤害。
effect.fast 加速
effect.desc.fast 你可以移动得更快。
effect.slow 减速
effect.desc.slow 你移动得更慢。
effect.anchored 锚定
effect.desc.anchored 你被固定在原地。
effect.frozen 冰冻
effect.desc.frozen 你被冻住了，什么也做不了！
effect.watched 被注视
effect.desc.watched …
effect.flight 飞行
effect.desc.flight 允许短暂飞行
effect.regen_potion 再生（药水）
effect.desc.regen_potion 你正在缓慢恢复生命。
effect.armoured 护甲强化
effect.desc.armoured 你的防御力提高了 4 点。

effect.concussion 脑震荡
effect.desc.concussion 哎哟！移动速度降低。
effect.snack 小点心
effect.desc.snack 你吃了点心，属性小幅提升。
effect.small_meal 小餐
effect.desc.small_meal 你吃了一顿小餐，属性有所提升。
effect.webbed 被蛛网缠住
effect.desc.webbed 你被蜘蛛网缠住了。

effect.water_walking 水上行走
effect.desc.water_walking 你可以在水上行走。
effect.crate_potion 箱子药水
effect.desc.crate_potion 钓到箱子的概率更高。

effect.fast_mining 快速挖矿
effect.desc.fast_mining 提高挖矿速度。

crafting_station.inventory 徒手
crafting_station.work_bench 工作台
crafting_station.furnace 熔炉
crafting_station.anvil 铁砧
crafting_station.decorations 装饰台
crafting_station.potions 药水台

loading.tip0 敌人只会在自然生成的方块上生成。
loading.tip1 按查看配方的按键绑定可查看物品配方。
loading.tip2 你可以使用改变形状的按键绑定来改变任意方块形状。
loading.tip3 如果留下空闲农田，作物可能发生变异。
loading.tip4 小心地下和地牢中的陷阱。
loading.tip5 你可以将铁轨倒置或铺在墙上。
loading.tip6 火把不会阻止地下怪物生成。
loading.tip7 使用重生指针设置重生点。
loading.tip8 迷路时使用返回药水回家。
loading.tip9 按住 CTRL 点击物品可将其发送到垃圾槽。
loading.tip10 你可以自动将物品堆叠到附近的箱子中。
loading.tip11 你可以整理背包。
loading.tip12 部分武器可以格挡敌人的攻击。
loading.tip13 使用装饰台制作许多很酷的物品。
loading.tip14 使用燧石和工作台制作工具。
loading.tip15 强力镐可以挖穿另一侧。
loading.tip16 有时候，直接向下挖是个好主意。
loading.tip17 如果你发现错误，请在 Discord 上报告。
loading.tip18 有反馈吗？加入 Discord 或填写反馈表。
loading.tip19 工具耐久度不是真的，也不会伤害你。
loading.tip20 如果让杂草在花园里生长，它们可能会变异……
loading.tip21 放置 NPC 房屋告示牌，让居民搬进来。
loading.tip22 在首领战中打篮球可能很有帮助。
loading.tip23 心甜菜可用于提高你的最大生命值。
loading.tip24 爆炸箭在近战时很危险。
loading.tip25 只有浇水后作物才会生长。

colour.clear 透明
colour.white 白色
colour.grey 浅灰色
colour.dark_grey 深灰色
colour.black 黑色
colour.red 红色
colour.orange 橙色
colour.yellow 黄色
colour.lime 黄绿色
colour.green 绿色
colour.turqoise 青绿色
colour.blue 蓝色
colour.dark_blue 深蓝色
colour.purple 紫色
colour.pink 粉色
colour.light_pink 浅粉色
colour.brown 棕色
colour.algae 藻绿
colour.moss 苔藓绿
colour.forest 森林绿
colour.ocean 海洋蓝
colour.mud 泥土色
colour.clay 黏土色
colour.sand 沙色
colour.powder 粉末色
colour.none 无
colour.orange_sherbet 橙色果子露
colour.lemon_yellow 柠檬黄
colour.pale_yellow 淡黄
colour.mint 薄荷绿
colour.baby_blue 婴儿蓝
colour.lavender 薰衣草紫
colour.pastel_pink 粉彩粉
colour.transparent_black 透明黑（用于文本）
colour.blank 空白
colour.pastel_yellow 粉彩黄
colour.pastel_blue 粉彩蓝
colour.pixel_red 像素红
colour.pixel_orange 像素橙
colour.pixel_yellow 像素黄
colour.pixel_lime 像素黄绿
colour.pixel_green 像素绿
colour.pixel_dark_green 像素深绿
colour.pixel_blue 像素蓝
colour.pixel_light_blue 像素浅蓝
colour.pixel_velvet 像素天鹅绒
colour.pixel_maroon 像素栗红
colour.pixel_rust 像素铁锈
colour.pixel_brown 像素棕
colour.pixel_navy 像素海军蓝
colour.pixel_violet 像素紫罗兰
colour.pixel_purple 像素紫
colour.pixel_pink 像素粉
colour.grey_32 灰色 12%
colour.grey_64 灰色 25%
colour.grey_128 灰色 50%
colour.grey_192 灰色 75%
colour.grey_224 灰色 88%
colour.red_earth 红土
colour.sunset_orange 日落橙
colour.deep_orange 深橙
colour.desert_red 沙漠红
colour.victorian_plum 维多利亚李子紫
colour.desert_pink 沙漠粉
colour.desert_brown 沙漠棕
colour.golden_brown 金棕
colour.sandstone 砂岩色
colour.desert_sand 沙漠沙色
colour.potato 土豆色
colour.desert_blue 沙漠蓝

comfort.room_size.too_big 这里不是封闭空间。
comfort.room_size.too_small 这个房间太小了。
comfort.room_size.pass 房间大小正合适。

comfort.room_light.too_dark 这个区域太暗了。
comfort.room_light.too_bright 这个区域太亮了。
comfort.room_light.pass 这个区域照明良好。

comfort.room_sunlight.too_dark 阳光不足。
comfort.room_sunlight.too_bright 阳光太强。
comfort.room_sunlight.no_direct 没有直射阳光。
comfort.room_sunlight.pass 阳光正好。

comfort.room_lava.no_lava 熔岩不足。
comfort.room_lava.pass 熔岩充足。

comfort.room_crafting.no_furnace 没有熔炉。
comfort.room_crafting.no_workbench 没有工作台。
comfort.room_crafting.no_decoration 没有装饰台。
comfort.room_crafting.pass 制作台数量充足。

comfort.Horrified.as_player 感觉很恐怖。
comfort.Inhospitable.as_player 看起来不太适宜居住。
comfort.Uncomfortable.as_player 感觉不舒服。
comfort.Acceptable.as_player 看起来还行。
comfort.Comfortable.as_player 感觉很舒适。
comfort.VeryComfortable.as_player 感觉非常温馨。

comfort.Horrified.as_npc 这地方太糟糕了！你都做了什么！？
comfort.Inhospitable.as_npc 我一点也不喜欢这个地方！
comfort.Uncomfortable.as_npc 这个地方不太好……我在这里很不舒服。
comfort.Acceptable.as_npc 这个地方还行……我想。
comfort.Comfortable.as_npc 我喜欢这里。一切都很好。
comfort.VeryComfortable.as_npc 这个地方太棒了！我很享受在这里的时光。

npc.merchant.name 商人
npc.merchant.generic0 灯油。绳子。炸弹？你想要？可惜，我只有其中一样。
npc.merchant.generic1 信不信由你，我以前是个方块。嗯，也许这有点离谱……
npc.merchant.generic2 你喜欢我的帽子吗？它散发着富贵气息。它不会让你想买点什么吗？
npc.merchant.generic3 朋友，你好吗？或许一些商品能让你高兴起来！
npc.merchant.generic4 我是商人。我卖物品。买我的东西。
npc.merchant.generic5 别那样呆呆地看着我，给我点钱！
npc.merchant.generic6 相信我，我并不鬼祟。我连运动鞋都还没找到呢！
npc.merchant.generic7 我一直在考虑转为订阅制，你觉得呢？
npc.merchant.generic8 感谢你的关心。你知道什么能马上让我开心吗？买点东西！
npc.merchant.generic9 别担心，我的东西不会卖完。你问为什么？嗯，我自有渠道！
npc.merchant.refuse0 在我的居住条件改善前，我不会卖你任何东西！
npc.merchant.refuse1 这地方实在太糟糕了。请改善这可怕的住处！
npc.merchant.refuse2 我怎么能在这样的房间里做生意？这里不是像我这样的绅士该待的地方！

npc.blacksmith.name 铁匠
npc.blacksmith.generic0 来锻造这块锭吧，用锤子把它锻造成完美！
npc.blacksmith.generic1 我以前知道怎么砸开晶洞，但忘了。也许总有一天会想起来。
npc.blacksmith.generic2 我的手指怎么没了？嗯，我挖鼻子时卡住了。眼睛怎么没的？你不会想知道……
npc.blacksmith.generic3 我听说有位传奇铁匠能锻造剧情护甲。这故事有点长，但他们最后过得还不错。
npc.blacksmith.generic4 每当我到一个新城镇，我总会直奔铁匠铺。那里总有好事发生。
npc.blacksmith.generic5 如果把你所有的财产熔成一大团无定形物体，运输起来会容易得多。
npc.blacksmith.generic6 我听说森林深处有一种比黄金更坚韧的花。有时值得往下挖一挖。
npc.blacksmith.generic7 要淬炼你的期望，也要淬炼你的金属。
npc.blacksmith.generic8 你更喜欢把它们叫做锭还是条？不管怎样，我还是会用锤子砸它。
npc.blacksmith.generic9 有些矿石需要更强的镐才能挖掘。我听说森林地牢里有一把强力镐。
npc.blacksmith.refuse0 没有合适的设备我不能卖你任何东西。能否提供一间更好的房间？
npc.blacksmith.refuse1 这房间或许勉强够用，但我需要更好的工作场所才能交易。
npc.blacksmith.refuse2 我想念熔炉的热度。能先加点熔岩让这里热闹起来吗？

npc.farmer.name 农夫
npc.farmer.generic0 最近我决定研究现代农业技术，例如流量农耕。
npc.farmer.generic1 如果你感兴趣，我有农用品存货。
npc.farmer.generic2 如果在植物周围留出空间，它们可能会自行扩散。有时会变异成完全不同的植物。
npc.farmer.generic3 杂草可能很烦人，但如果暂时不管它们，或许会长出新东西。
npc.farmer.generic4 如果你不想给作物浇水，一定要放置洒水器。它们可浇灌 5x5 区域内的植物，并自动运行。
npc.farmer.generic5 植物可用于制作各类药水。这不是我的专长，但我听说蓝莓是一种极佳的试剂。
npc.farmer.generic6 你不用担心我货品的质量。相信我，我可不是不靠谱的种子商。
npc.farmer.generic7 即使你对耕作不感兴趣，翻土也是获取蠕虫的好方法。我觉得蠕虫不太好吃，但我不会评判你。
npc.farmer.generic8 有时，获得一种植物的唯一方式就是探索。你不会在一个地方找到所有东西。
npc.farmer.generic9 植物喜欢湿润的土壤，杂草也是。杂草扩散得比植物快得多，要当心！
npc.farmer.refuse0 我的存货不会凭空出现，我需要一个工作场所。能为我建一座温室吗？
npc.farmer.refuse1 我想让阳光照在皮肤上。在和你交易之前，我更希望有一个合适的居住环境。
npc.farmer.refuse2 这个房间太暗，没法种植物。我需要阳光！

npc.builder.name 建筑师
npc.builder.generic0 我喜欢砌棕色砖！这是世界上最棒、最有趣的事！
npc.builder.generic1 我出售很多实用建材。壁纸、油漆、装饰品，我全都有！
npc.builder.generic2 有一次，我有个客户坚持住在没有照明的孤立房间里。我以为他们是吸血鬼，结果他们只是讨厌窗户。
npc.builder.generic3 如果你接到米色壁纸和地毯的合同，就拒绝吧！我曾犯过一次这种错误，根本做不完。房间永远没有尽头！
npc.builder.generic4 别忘了，改变方块形状不需要锤子。手持方块时可以打开菜单，而且它会记住形状！
npc.builder.generic5 大多数方块都可以重新塑形，甚至是奇怪的那些。如果你在造泥土小屋，至少用泥土围栏把它围起来！
npc.builder.generic6 如果你不喜欢灯光的颜色，就给它上色！油漆会给光源加色调，并改变它们发出的光的颜色。
npc.builder.generic7 如果一个方块没有独特的涂装纹理，白色油漆可能没有效果。油漆会给方块添加色调，所以给黑色方块加色调仍然是黑色。
npc.builder.generic8 如果你想在房间之间做薄墙，壁纸很适合。壁纸基底方块的每一面都可应用不同的壁纸。
npc.builder.generic9 一定要建在稳定的地基上。否则，你最后可能会花 3 个月处理网络代码！
npc.builder.refuse0 在卖东西给你之前，你介意改善一下我的工作区吗？我需要一个制作物品的地方。
npc.builder.refuse1 我需要一些制作台，才能为你制作存货。
npc.builder.refuse2 在有合适的制作台之前，我想我没法为你做任何东西，抱歉。

ui.generic.apply 应用
ui.generic.back 返回
ui.generic.info 信息
ui.generic.delete 删除
ui.generic.up 上移
ui.generic.down 下移
ui.generic.click_here 点击这里！

ui.generic.open_compendium 从暂停菜单打开图鉴以隐藏此消息。

ui.inventory.sort 整理背包
ui.inventory.toggle_large_craft 大模式
ui.inventory.stack_nearby 堆叠到附近箱子
ui.inventory.toggle_creative 创造模式背包

item_category.all 全部
item_category.blocks 方块
item_category.items 物品
item_category.technical 技术
item_category.weapons 武器
item_category.tools 工具
item_category.decoration 装饰
item_category.natural 自然

item.bubble_mix 气泡混合物
settings.fullscreen 全屏
item.thick_palm_log 粗棕榈木原木
guide.night_danger.name 夜晚到了！
guide.night_danger.desc 你的第一个夜晚最危险。夜晚不能直接跳过，所以要准备好安全的地方！尽快制作护甲和工具。别害怕去挖矿。
guide.biomes.name 留在森林！
guide.biomes.desc 生物群系的难度分为不同等级。太快进入雪地或沙漠生物群系就会死！森林是最容易的生物群系，应从那里开始。
